RespondentID,Department,Region,Tenure,Q1. I feel valued at work,Q2. My manager supports my growth,Q3. Workload is sustainable,Q4. I have the tools I need,Q5. I understand company strategy,Q6. I can be my authentic self,Q7. I would recommend us as a place to work,Q8. I see a path to grow here,What_is_working,What_to_improve
R0240,Customer Success,NA,<1y,5,3,4,3,4,4,3,2,Managers actually listen.,Tooling is fragmented.
R0241,Customer Success,NA,5y+,5,4,2,3,2,4,4,3,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0242,Engineering,EMEA,3-5y,5,4,2,3,3,5,3,4,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0243,Marketing,NA,1-3y,4,4,4,3,4,4,5,4,Great teammates and a real mission.,Tooling is fragmented.
R0244,Engineering,LATAM,3-5y,3,3,4,3,4,5,4,3,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0245,Marketing,APAC,5y+,3,4,4,2,5,4,4,4,Strong onboarding buddy program.,Tooling is fragmented.
R0246,Sales,APAC,<1y,3,1,5,3,4,3,3,2,Managers actually listen.,"Too many meetings, not enough focus time."
R0247,Finance,APAC,1-3y,3,4,3,4,1,4,4,3,I learn something new every week.,Cross-team handoffs are slow.
R0248,Product,APAC,5y+,4,2,4,4,3,3,5,5,Interesting technical challenges.,Not enough headcount for the roadmap.
R0249,Finance,APAC,<1y,4,4,5,4,3,4,1,5,Great teammates and a real mission.,Tooling is fragmented.
R0250,Marketing,LATAM,5y+,4,4,4,3,5,5,5,2,Interesting technical challenges.,Tooling is fragmented.
R0251,Operations,NA,5y+,3,4,3,4,2,3,4,3,I learn something new every week.,On-call load is heavy this quarter.
R0252,People,NA,<1y,4,4,5,4,4,4,4,3,"Good customers, meaningful work.",Career paths are unclear.
R0253,Finance,LATAM,5y+,5,4,3,2,2,4,3,3,Interesting technical challenges.,Promotion process feels opaque.
R0254,Operations,APAC,5y+,3,3,3,4,3,3,4,3,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0255,Operations,APAC,1-3y,4,3,3,3,3,4,2,4,Flexible hours help a lot.,"Too many meetings, not enough focus time."
R0256,Product,EMEA,1-3y,4,3,3,3,2,2,4,5,Flexible hours help a lot.,Cross-team handoffs are slow.
R0257,Finance,NA,5y+,4,3,3,4,4,2,2,3,I learn something new every week.,Career paths are unclear.
R0258,People,APAC,3-5y,5,5,4,3,4,4,4,3,I learn something new every week.,Tooling is fragmented.
R0259,Finance,EMEA,1-3y,3,4,4,5,3,5,2,3,Flexible hours help a lot.,Cross-team handoffs are slow.
R0260,Operations,EMEA,<1y,4,4,2,3,1,4,3,3,Leadership is transparent in town halls.,Cross-team handoffs are slow.
R0261,Customer Success,EMEA,1-3y,4,5,4,3,4,4,5,4,Interesting technical challenges.,Career paths are unclear.
R0262,Sales,EMEA,1-3y,3,3,3,3,3,5,3,1,Great teammates and a real mission.,Career paths are unclear.
R0263,Engineering,APAC,5y+,3,2,3,4,5,2,4,4,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0264,Engineering,LATAM,5y+,4,5,4,5,3,2,4,1,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0265,Customer Success,EMEA,5y+,4,3,5,4,5,3,4,3,Great teammates and a real mission.,Tooling is fragmented.
R0266,People,LATAM,1-3y,4,5,3,4,4,4,5,2,Flexible hours help a lot.,Cross-team handoffs are slow.
R0267,Engineering,NA,1-3y,4,4,3,4,2,3,4,4,Flexible hours help a lot.,Cross-team handoffs are slow.
R0268,Product,LATAM,<1y,4,5,3,4,4,3,4,4,I learn something new every week.,On-call load is heavy this quarter.
R0269,Operations,APAC,1-3y,1,4,3,3,4,3,2,3,Strong onboarding buddy program.,Compensation lags the market.
R0270,Marketing,LATAM,5y+,3,5,3,4,4,3,3,4,Interesting technical challenges.,Career paths are unclear.
R0271,Engineering,NA,3-5y,3,3,3,3,3,3,3,3,Interesting technical challenges.,Career paths are unclear.
R0272,Customer Success,LATAM,3-5y,4,3,5,5,5,3,4,4,Great teammates and a real mission.,Career paths are unclear.
R0273,Finance,NA,<1y,4,5,3,5,3,3,3,3,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0274,Engineering,LATAM,1-3y,3,2,5,5,5,5,4,4,Managers actually listen.,Promotion process feels opaque.
R0275,Engineering,NA,3-5y,3,3,5,2,3,3,2,4,Leadership is transparent in town halls.,Not enough headcount for the roadmap.
R0276,Finance,NA,1-3y,4,4,5,5,2,3,4,4,Flexible hours help a lot.,Cross-team handoffs are slow.
R0277,People,APAC,<1y,4,4,3,5,3,5,5,4,Interesting technical challenges.,Compensation lags the market.
R0278,Marketing,APAC,1-3y,4,4,5,4,4,3,2,4,Flexible hours help a lot.,Compensation lags the market.
R0279,Sales,LATAM,1-3y,4,3,2,3,4,2,3,3,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0280,Finance,NA,<1y,5,4,4,2,5,3,4,5,"Good customers, meaningful work.",Compensation lags the market.
R0281,Operations,LATAM,<1y,2,4,4,3,2,4,4,3,Leadership is transparent in town halls.,Career paths are unclear.
R0282,Operations,LATAM,<1y,4,3,4,4,4,4,4,5,Managers actually listen.,"Too many meetings, not enough focus time."
R0283,Product,APAC,5y+,5,3,4,3,3,4,2,3,Managers actually listen.,Compensation lags the market.
R0284,People,LATAM,<1y,5,3,3,5,4,5,4,3,Flexible hours help a lot.,"Too many meetings, not enough focus time."
R0285,Operations,EMEA,5y+,2,5,2,4,4,4,2,2,Leadership is transparent in town halls.,On-call load is heavy this quarter.
R0286,Engineering,NA,3-5y,4,4,2,4,4,3,3,5,Leadership is transparent in town halls.,On-call load is heavy this quarter.
R0287,People,APAC,1-3y,5,3,5,3,5,3,5,3,I learn something new every week.,Not enough headcount for the roadmap.
R0288,Operations,APAC,1-3y,3,3,5,3,4,4,3,4,Managers actually listen.,Career paths are unclear.
R0289,Sales,EMEA,5y+,4,2,5,2,3,3,3,4,Flexible hours help a lot.,Career paths are unclear.
R0290,Marketing,NA,3-5y,5,4,4,3,3,3,5,2,I learn something new every week.,"Too many meetings, not enough focus time."
R0291,Finance,EMEA,<1y,3,5,3,4,4,5,4,4,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0292,Customer Success,EMEA,<1y,4,4,5,3,4,4,4,3,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0293,Operations,LATAM,1-3y,3,5,3,4,3,3,3,4,"Good customers, meaningful work.","Too many meetings, not enough focus time."
R0294,Engineering,EMEA,1-3y,3,4,4,3,4,3,4,3,"Good customers, meaningful work.",On-call load is heavy this quarter.
R0295,Finance,NA,1-3y,2,3,3,5,4,4,3,2,Flexible hours help a lot.,"Too many meetings, not enough focus time."
R0296,Finance,NA,5y+,4,4,4,2,3,3,5,2,Interesting technical challenges.,Not enough headcount for the roadmap.
R0297,Customer Success,EMEA,<1y,5,4,5,3,4,4,4,4,I learn something new every week.,Not enough headcount for the roadmap.
R0298,Customer Success,EMEA,1-3y,4,3,3,4,4,4,4,5,Leadership is transparent in town halls.,Career paths are unclear.
R0299,People,LATAM,3-5y,4,4,3,3,4,5,4,3,"Good customers, meaningful work.",On-call load is heavy this quarter.
R0300,Customer Success,EMEA,<1y,5,3,3,3,5,4,4,4,Interesting technical challenges.,Tooling is fragmented.
R0301,Product,APAC,3-5y,4,4,4,4,4,4,5,5,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0302,Operations,NA,3-5y,3,3,2,3,2,3,3,3,Managers actually listen.,"Too many meetings, not enough focus time."
R0303,People,LATAM,1-3y,5,5,4,4,3,5,4,4,Interesting technical challenges.,Cross-team handoffs are slow.
R0304,People,NA,5y+,3,5,3,4,3,3,4,5,"Good customers, meaningful work.",Compensation lags the market.
R0305,Marketing,LATAM,<1y,4,3,5,2,4,3,2,5,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0306,Engineering,EMEA,1-3y,3,2,4,2,5,2,2,4,Great teammates and a real mission.,Cross-team handoffs are slow.
R0307,Sales,LATAM,<1y,3,3,4,2,3,4,2,4,Strong onboarding buddy program.,On-call load is heavy this quarter.
R0308,Sales,EMEA,1-3y,2,4,5,4,4,3,4,4,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0309,Finance,EMEA,3-5y,3,3,3,5,4,4,4,3,Interesting technical challenges.,On-call load is heavy this quarter.
R0310,Engineering,LATAM,1-3y,3,4,2,3,5,3,4,3,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0311,Customer Success,APAC,<1y,4,4,1,3,4,5,4,4,Managers actually listen.,Cross-team handoffs are slow.
R0312,Finance,EMEA,1-3y,4,3,3,4,4,3,3,3,Leadership is transparent in town halls.,Compensation lags the market.
R0313,Finance,NA,5y+,4,3,3,3,4,3,2,5,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0314,Finance,EMEA,5y+,3,4,4,3,3,5,5,5,Managers actually listen.,Cross-team handoffs are slow.
R0315,Sales,LATAM,5y+,2,3,3,2,2,4,2,3,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0316,Product,APAC,3-5y,2,4,3,2,4,4,3,4,"Good customers, meaningful work.",Career paths are unclear.
R0317,People,LATAM,1-3y,4,5,3,4,5,5,4,3,Managers actually listen.,Not enough headcount for the roadmap.
R0318,Marketing,LATAM,3-5y,5,4,5,5,3,4,4,3,Leadership is transparent in town halls.,Compensation lags the market.
R0319,Operations,NA,5y+,3,5,4,4,4,4,3,2,Great teammates and a real mission.,Tooling is fragmented.
R0320,Sales,EMEA,5y+,4,4,5,4,3,4,2,3,I learn something new every week.,On-call load is heavy this quarter.
R0321,Customer Success,EMEA,1-3y,3,3,5,5,5,3,4,4,I learn something new every week.,Promotion process feels opaque.
R0322,Marketing,NA,1-3y,5,4,3,3,2,4,2,4,Great teammates and a real mission.,On-call load is heavy this quarter.
R0323,Engineering,LATAM,3-5y,3,4,3,4,3,4,4,3,Flexible hours help a lot.,Promotion process feels opaque.
R0324,Product,EMEA,5y+,4,5,3,4,4,4,4,3,Strong onboarding buddy program.,Compensation lags the market.
R0325,People,LATAM,<1y,4,5,2,3,2,4,4,4,Interesting technical challenges.,Tooling is fragmented.
R0326,Marketing,NA,1-3y,5,5,5,3,2,3,4,4,Flexible hours help a lot.,On-call load is heavy this quarter.
R0327,Finance,NA,5y+,5,5,3,3,4,5,3,4,Strong onboarding buddy program.,Compensation lags the market.
R0328,Sales,NA,5y+,4,2,4,3,2,4,3,4,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0329,Marketing,APAC,5y+,4,4,4,3,3,4,3,3,Strong onboarding buddy program.,"Too many meetings, not enough focus time."
R0330,Customer Success,LATAM,<1y,3,4,3,4,4,5,5,4,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0331,Marketing,LATAM,1-3y,5,4,4,2,2,4,3,2,Flexible hours help a lot.,Career paths are unclear.
R0332,Product,LATAM,5y+,2,4,3,2,4,4,4,3,Flexible hours help a lot.,Compensation lags the market.
R0333,Operations,NA,5y+,3,2,3,4,4,4,4,3,Flexible hours help a lot.,Promotion process feels opaque.
R0334,Operations,EMEA,5y+,1,4,4,2,3,3,5,3,Strong onboarding buddy program.,Career paths are unclear.
R0335,Sales,EMEA,<1y,3,2,3,3,4,3,2,3,Strong onboarding buddy program.,"Too many meetings, not enough focus time."
R0336,Marketing,APAC,3-5y,4,4,4,4,4,4,4,4,Leadership is transparent in town halls.,Not enough headcount for the roadmap.
R0337,Finance,NA,<1y,4,4,5,4,4,3,4,4,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0338,People,APAC,<1y,3,3,4,4,4,4,4,5,Strong onboarding buddy program.,"Too many meetings, not enough focus time."
R0339,Customer Success,APAC,<1y,2,4,5,3,4,5,4,5,"Good customers, meaningful work.",Compensation lags the market.
R0340,Marketing,NA,5y+,3,3,3,3,3,3,3,4,"Good customers, meaningful work.",Compensation lags the market.
R0341,People,LATAM,1-3y,3,4,2,5,5,5,5,3,Flexible hours help a lot.,Tooling is fragmented.
R0342,Customer Success,LATAM,5y+,5,4,5,3,2,4,3,5,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0343,Customer Success,EMEA,<1y,3,3,4,3,3,4,2,4,Strong onboarding buddy program.,Career paths are unclear.
R0344,Customer Success,APAC,1-3y,4,4,3,3,4,3,4,3,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0345,Customer Success,LATAM,5y+,4,3,5,3,4,5,3,4,I learn something new every week.,Tooling is fragmented.
R0346,People,LATAM,1-3y,5,5,3,4,3,4,3,3,Leadership is transparent in town halls.,Promotion process feels opaque.
R0347,Customer Success,APAC,5y+,4,3,3,5,2,4,4,3,Strong onboarding buddy program.,"Too many meetings, not enough focus time."
R0348,Marketing,NA,5y+,4,4,5,3,2,3,4,4,Managers actually listen.,Career paths are unclear.
R0349,Sales,EMEA,3-5y,4,3,4,4,5,4,4,3,"Good customers, meaningful work.",Promotion process feels opaque.
R0350,Finance,LATAM,1-3y,4,4,4,5,4,5,2,5,Interesting technical challenges.,Compensation lags the market.
R0351,Product,NA,5y+,4,3,3,4,5,3,4,5,I learn something new every week.,"Too many meetings, not enough focus time."
R0352,Finance,LATAM,3-5y,4,5,4,3,3,4,3,4,Interesting technical challenges.,Not enough headcount for the roadmap.
R0353,Finance,NA,3-5y,5,4,2,4,5,2,4,4,Great teammates and a real mission.,On-call load is heavy this quarter.
R0354,Finance,APAC,<1y,4,3,2,4,3,3,4,5,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0355,Customer Success,NA,5y+,4,5,3,4,3,3,4,5,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0356,Product,NA,5y+,3,5,5,3,4,3,3,3,Leadership is transparent in town halls.,Career paths are unclear.
R0357,Engineering,LATAM,1-3y,3,3,4,4,4,3,3,3,Flexible hours help a lot.,Compensation lags the market.
R0358,Operations,NA,<1y,4,4,3,4,4,3,3,4,I learn something new every week.,Promotion process feels opaque.
R0359,Customer Success,EMEA,3-5y,3,3,5,3,4,3,5,5,Managers actually listen.,Career paths are unclear.
R0360,Operations,APAC,3-5y,4,3,4,3,3,3,4,3,Flexible hours help a lot.,"Too many meetings, not enough focus time."
R0361,Customer Success,EMEA,5y+,3,4,4,3,4,4,3,5,Flexible hours help a lot.,On-call load is heavy this quarter.
R0362,Sales,LATAM,3-5y,3,3,3,3,3,3,4,5,I learn something new every week.,Promotion process feels opaque.
R0363,Customer Success,LATAM,1-3y,4,4,4,4,4,4,4,5,Managers actually listen.,Cross-team handoffs are slow.
R0364,Marketing,APAC,5y+,4,3,3,4,4,5,5,5,Managers actually listen.,Career paths are unclear.
R0365,Operations,NA,1-3y,3,4,4,2,3,4,4,3,Leadership is transparent in town halls.,Career paths are unclear.
R0366,Product,EMEA,5y+,5,4,4,2,3,4,5,2,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0367,Marketing,EMEA,1-3y,4,4,5,3,4,3,3,4,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0368,Sales,EMEA,<1y,4,3,3,3,3,3,4,3,Flexible hours help a lot.,Career paths are unclear.
R0369,Sales,EMEA,1-3y,3,4,3,3,4,2,2,3,Managers actually listen.,Career paths are unclear.
R0370,Product,LATAM,5y+,3,3,3,4,3,2,3,4,"Good customers, meaningful work.","Too many meetings, not enough focus time."
R0371,Marketing,NA,<1y,4,4,5,4,2,4,5,3,Interesting technical challenges.,Career paths are unclear.
R0372,Sales,NA,5y+,2,4,3,3,2,3,4,2,I learn something new every week.,Career paths are unclear.
R0373,Product,APAC,5y+,2,2,4,4,3,3,2,5,Leadership is transparent in town halls.,Promotion process feels opaque.
R0374,Customer Success,EMEA,1-3y,4,5,3,3,4,3,4,3,Managers actually listen.,On-call load is heavy this quarter.
R0375,Operations,APAC,<1y,3,2,4,3,2,4,4,2,Strong onboarding buddy program.,On-call load is heavy this quarter.
R0376,Operations,APAC,1-3y,3,2,3,4,4,4,3,3,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0377,Marketing,EMEA,3-5y,4,3,2,2,4,3,4,3,Managers actually listen.,On-call load is heavy this quarter.
R0378,Customer Success,NA,1-3y,4,3,3,4,5,3,5,2,Interesting technical challenges.,Promotion process feels opaque.
R0379,Sales,EMEA,3-5y,3,5,3,3,2,3,5,2,Great teammates and a real mission.,Career paths are unclear.
R0380,Engineering,LATAM,5y+,5,3,5,5,1,5,4,2,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0381,Operations,EMEA,<1y,3,5,3,4,3,4,4,1,Managers actually listen.,Tooling is fragmented.
R0382,Customer Success,NA,<1y,5,3,4,4,3,3,5,3,"Good customers, meaningful work.",Tooling is fragmented.
R0383,People,LATAM,<1y,4,3,4,3,4,3,4,4,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0384,Finance,EMEA,1-3y,3,3,4,4,3,5,4,3,I learn something new every week.,"Too many meetings, not enough focus time."
R0385,Operations,NA,1-3y,3,4,3,2,3,3,4,1,Flexible hours help a lot.,Career paths are unclear.
R0386,Product,APAC,<1y,5,4,3,4,2,4,3,5,I learn something new every week.,"Too many meetings, not enough focus time."
R0387,Sales,EMEA,3-5y,4,3,3,4,3,3,3,2,Managers actually listen.,On-call load is heavy this quarter.
R0388,Marketing,EMEA,<1y,5,4,2,4,3,4,5,4,Leadership is transparent in town halls.,Promotion process feels opaque.
R0389,Marketing,LATAM,<1y,3,3,4,3,3,3,5,3,Flexible hours help a lot.,Cross-team handoffs are slow.
R0390,Customer Success,APAC,5y+,3,4,4,3,4,4,5,4,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0391,Marketing,NA,3-5y,3,3,3,3,3,5,5,3,Great teammates and a real mission.,Career paths are unclear.
R0392,Finance,APAC,3-5y,3,4,5,5,3,4,5,4,Strong onboarding buddy program.,Promotion process feels opaque.
R0393,Marketing,NA,<1y,5,2,3,5,4,3,3,5,Managers actually listen.,Tooling is fragmented.
R0394,Finance,EMEA,1-3y,5,5,5,4,3,3,5,5,Great teammates and a real mission.,Cross-team handoffs are slow.
R0395,Finance,LATAM,3-5y,4,5,1,4,3,4,3,4,"Good customers, meaningful work.","Too many meetings, not enough focus time."
R0396,Finance,APAC,3-5y,4,5,3,4,4,5,4,5,Interesting technical challenges.,Compensation lags the market.
R0397,Operations,EMEA,1-3y,4,5,4,3,4,4,4,4,Interesting technical challenges.,On-call load is heavy this quarter.
R0398,People,NA,5y+,5,4,5,5,5,2,3,3,Great teammates and a real mission.,Compensation lags the market.
R0399,Marketing,EMEA,<1y,3,4,4,4,5,3,4,3,Leadership is transparent in town halls.,Not enough headcount for the roadmap.
R0400,Customer Success,APAC,<1y,5,4,5,2,2,4,4,5,"Good customers, meaningful work.",Promotion process feels opaque.
R0401,Finance,LATAM,3-5y,3,2,4,4,4,3,3,5,"Good customers, meaningful work.",Tooling is fragmented.
R0402,Operations,NA,1-3y,3,3,4,2,3,4,2,4,Leadership is transparent in town halls.,Tooling is fragmented.
R0403,Product,EMEA,5y+,5,3,3,4,4,4,2,3,"Good customers, meaningful work.","Too many meetings, not enough focus time."
R0404,Finance,LATAM,3-5y,4,4,4,3,2,3,4,3,Interesting technical challenges.,On-call load is heavy this quarter.
R0405,Engineering,EMEA,3-5y,2,3,4,4,5,4,3,2,Managers actually listen.,"Too many meetings, not enough focus time."
R0406,Engineering,EMEA,5y+,2,4,5,1,3,4,4,3,Managers actually listen.,On-call load is heavy this quarter.
R0407,Engineering,EMEA,5y+,4,5,5,3,3,4,4,3,Leadership is transparent in town halls.,Tooling is fragmented.
R0408,Finance,EMEA,<1y,5,4,3,4,4,3,5,5,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0409,People,APAC,5y+,4,4,5,4,5,4,2,4,Flexible hours help a lot.,Compensation lags the market.
R0410,People,APAC,3-5y,3,3,4,4,5,4,4,4,Interesting technical challenges.,"Too many meetings, not enough focus time."
R0411,Marketing,LATAM,1-3y,4,4,4,5,5,2,4,2,Flexible hours help a lot.,Promotion process feels opaque.
R0412,Finance,EMEA,5y+,5,3,3,5,4,4,2,3,Flexible hours help a lot.,On-call load is heavy this quarter.
R0413,People,NA,5y+,4,3,5,4,3,5,5,2,Managers actually listen.,Cross-team handoffs are slow.
R0414,Engineering,NA,3-5y,3,2,4,3,3,2,3,5,Flexible hours help a lot.,Tooling is fragmented.
R0415,Product,APAC,1-3y,5,4,5,3,4,3,4,3,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0416,Marketing,APAC,<1y,4,5,5,5,3,3,5,3,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0417,Marketing,LATAM,5y+,2,3,3,4,5,2,2,3,Interesting technical challenges.,"Too many meetings, not enough focus time."
R0418,Engineering,EMEA,1-3y,2,4,4,5,4,3,3,3,I learn something new every week.,Cross-team handoffs are slow.
R0419,Customer Success,EMEA,<1y,2,5,5,4,5,4,5,4,"Good customers, meaningful work.",Compensation lags the market.
R0420,Product,APAC,1-3y,2,3,3,4,3,4,3,3,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0421,Finance,APAC,3-5y,4,3,2,4,2,4,3,3,Managers actually listen.,Promotion process feels opaque.
R0422,Product,LATAM,3-5y,5,3,5,2,2,3,3,3,Great teammates and a real mission.,Tooling is fragmented.
R0423,People,LATAM,<1y,4,4,5,4,4,5,4,3,Interesting technical challenges.,Not enough headcount for the roadmap.
R0424,Marketing,EMEA,1-3y,4,5,4,3,5,3,4,5,Managers actually listen.,Tooling is fragmented.
R0425,Sales,APAC,5y+,4,5,2,3,2,3,3,3,Leadership is transparent in town halls.,Compensation lags the market.
R0426,People,LATAM,5y+,2,4,4,4,5,4,5,2,Managers actually listen.,Not enough headcount for the roadmap.
R0427,Finance,NA,1-3y,2,3,5,3,3,5,5,3,Strong onboarding buddy program.,Tooling is fragmented.
R0428,Product,LATAM,<1y,2,3,3,3,3,5,4,5,Flexible hours help a lot.,Compensation lags the market.
R0429,Customer Success,LATAM,<1y,4,4,4,4,4,5,4,4,Leadership is transparent in town halls.,Tooling is fragmented.
R0430,Sales,EMEA,<1y,3,3,1,3,2,3,3,4,Great teammates and a real mission.,Tooling is fragmented.
R0431,Operations,APAC,<1y,4,4,5,3,5,4,3,4,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0432,Marketing,APAC,3-5y,5,5,3,3,5,4,3,5,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0433,Customer Success,NA,1-3y,4,4,5,5,3,5,4,5,"Good customers, meaningful work.","Too many meetings, not enough focus time."
R0434,Finance,LATAM,5y+,5,4,5,4,3,4,3,4,I learn something new every week.,Not enough headcount for the roadmap.
R0435,People,LATAM,5y+,4,4,3,4,4,5,4,4,Interesting technical challenges.,Not enough headcount for the roadmap.
R0436,Customer Success,LATAM,1-3y,2,5,4,5,5,4,5,3,I learn something new every week.,On-call load is heavy this quarter.
R0437,Product,EMEA,1-3y,3,4,2,4,3,4,4,4,Flexible hours help a lot.,"Too many meetings, not enough focus time."
R0438,Finance,NA,<1y,5,3,3,4,3,3,2,5,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0439,Product,APAC,1-3y,3,4,4,5,4,3,4,3,Flexible hours help a lot.,Tooling is fragmented.
R0440,Finance,NA,3-5y,4,4,4,3,5,5,4,5,Flexible hours help a lot.,Cross-team handoffs are slow.
R0441,Product,APAC,3-5y,3,5,4,3,4,2,3,3,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0442,Marketing,NA,<1y,4,5,4,4,3,5,4,4,Interesting technical challenges.,Tooling is fragmented.
R0443,Finance,APAC,1-3y,4,3,4,4,4,4,3,5,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0444,Finance,LATAM,1-3y,3,2,3,4,3,4,4,2,Great teammates and a real mission.,Compensation lags the market.
R0445,Finance,LATAM,3-5y,5,5,5,2,2,4,3,4,I learn something new every week.,Tooling is fragmented.
R0446,Engineering,EMEA,<1y,4,3,3,3,4,3,3,3,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0447,Marketing,EMEA,1-3y,4,4,5,3,3,4,5,3,Strong onboarding buddy program.,Career paths are unclear.
R0448,Sales,APAC,<1y,4,3,2,2,2,4,4,3,Interesting technical challenges.,Not enough headcount for the roadmap.
R0449,People,APAC,<1y,4,4,3,5,4,3,5,3,I learn something new every week.,On-call load is heavy this quarter.
R0450,People,LATAM,1-3y,3,4,5,3,2,4,5,4,Managers actually listen.,Tooling is fragmented.
R0451,Sales,NA,3-5y,2,5,2,4,4,3,4,3,Leadership is transparent in town halls.,Promotion process feels opaque.
R0452,Marketing,EMEA,5y+,2,5,4,2,4,4,4,3,Strong onboarding buddy program.,Career paths are unclear.
R0453,Sales,EMEA,1-3y,5,1,3,2,2,4,4,3,Interesting technical challenges.,Career paths are unclear.
R0454,Marketing,EMEA,5y+,5,5,4,5,2,2,4,4,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0455,Operations,APAC,1-3y,3,3,5,1,2,3,4,3,Flexible hours help a lot.,Career paths are unclear.
R0456,Engineering,APAC,1-3y,4,3,5,3,2,4,3,3,I learn something new every week.,Career paths are unclear.
R0457,Operations,LATAM,3-5y,3,2,3,3,3,4,3,5,Interesting technical challenges.,Tooling is fragmented.
R0458,Customer Success,APAC,3-5y,4,3,4,4,5,4,4,4,Managers actually listen.,Cross-team handoffs are slow.
R0459,Customer Success,EMEA,5y+,2,4,4,4,4,4,4,4,Great teammates and a real mission.,Career paths are unclear.
R0460,Marketing,APAC,<1y,4,2,4,4,4,2,3,2,I learn something new every week.,"Too many meetings, not enough focus time."
R0461,Engineering,LATAM,5y+,3,3,5,5,4,5,5,5,Leadership is transparent in town halls.,Tooling is fragmented.
R0462,Sales,NA,<1y,2,1,3,4,3,3,3,5,I learn something new every week.,Compensation lags the market.
R0463,Sales,NA,<1y,4,2,3,4,3,5,3,2,Great teammates and a real mission.,Tooling is fragmented.
R0464,People,EMEA,<1y,4,4,3,4,4,5,3,4,Interesting technical challenges.,"Too many meetings, not enough focus time."
R0465,People,APAC,3-5y,3,5,3,3,4,5,5,4,Great teammates and a real mission.,Tooling is fragmented.
R0466,Customer Success,EMEA,5y+,3,4,5,3,5,4,5,4,Leadership is transparent in town halls.,Compensation lags the market.
R0467,Product,EMEA,3-5y,4,3,3,3,4,4,4,5,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0468,Engineering,EMEA,5y+,4,4,3,3,5,4,4,4,Leadership is transparent in town halls.,Cross-team handoffs are slow.
R0469,Finance,NA,<1y,3,4,4,4,5,2,3,3,"Good customers, meaningful work.","Too many meetings, not enough focus time."
R0470,Customer Success,NA,3-5y,5,5,3,4,4,3,4,4,Strong onboarding buddy program.,Compensation lags the market.
R0471,Engineering,LATAM,1-3y,2,4,4,3,5,4,3,4,Strong onboarding buddy program.,"Too many meetings, not enough focus time."
R0472,Finance,LATAM,<1y,4,4,3,3,4,3,3,3,Strong onboarding buddy program.,Compensation lags the market.
R0473,Sales,EMEA,<1y,3,5,3,3,3,4,3,3,Managers actually listen.,Compensation lags the market.
R0474,Product,NA,<1y,5,4,3,3,4,5,4,3,Flexible hours help a lot.,Compensation lags the market.
R0475,Engineering,EMEA,1-3y,5,3,3,4,3,5,5,2,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0476,Customer Success,EMEA,1-3y,5,5,4,5,4,3,5,5,"Good customers, meaningful work.",Cross-team handoffs are slow.
R0477,Customer Success,NA,1-3y,5,3,4,4,4,5,3,3,"Good customers, meaningful work.",On-call load is heavy this quarter.
R0478,Operations,NA,3-5y,4,4,5,4,3,3,3,3,"Good customers, meaningful work.",On-call load is heavy this quarter.
R0479,Sales,APAC,3-5y,3,2,4,2,4,3,2,2,Flexible hours help a lot.,"Too many meetings, not enough focus time."
